Country,Population_Coeff,Inflation_Coeff,Import_Coeff,Export_Coeff,Cluster
THA,-0.3948663980091059,-0.9235426491686074,-0.37085574043697256,1.6892647876146858,2
TON,-0.13465866197348492,-1.3984562736485455,1.4188481976757223,0.11426673794630822,3
TTO,-0.20750570510552407,-1.3766540530558025,1.4272900533005093,0.15686970486081725,3
TUN,0.825228544933382,-1.6977495860961926,0.6035891013759337,0.2689319397868773,0
TUR,0.7671416257217875,-0.5753347682485468,1.1414503394401372,-1.3332571969133782,1
TZA,0.8641440357969363,-0.695945038680268,-1.2577199945487068,1.0895209974320386,4
URY,-0.4082139197175876,-0.9493960271330546,-0.3238056677307741,1.6814156145814165,2
USA,1.1884272271208733,-1.1124914011211526,0.7827392465382288,-0.8586750725379496,1
VCT,-0.17280026079758548,-1.0061890525565407,1.6531477391908216,-0.47415842583669543,6
VUT,0.03442568419853224,-1.5642236400383263,1.201864870963568,0.327933084876226,0
WSM,-0.5251677285842139,-0.33154094380606386,1.702580490525587,-0.8458718181353093,6
ZAF,1.1134361162452684,-1.6181285653504756,0.1670153188221486,0.3376771302830586,5
ZMB,-0.6188022621134338,-1.2901478623204257,1.2099716032554633,0.6989785211783964,3
